Gene ID	Gene Name	7 day	8 day	9 day	10 day	11 day	12 day	13 day	14 day	15 day	16 day
AT3G46770	REM22			0.1					0.1	0.4	0.6
AT3G46780	PTAC16	42.0	35.0	31.0	26.0	18.0	34.0	24.0	20.0	19.0	37.0
AT3G46790	CRR2	10.0	10.0	10.0	11.0	9.0	10.0	11.0	12.0	10.0	9.0
AT3G46820	TOPP5	7.0	12.0	11.0	11.0	9.0	9.0	11.0	10.0	11.0	13.0
AT3G46830	RABA2C	52.0	41.0	43.0	39.0	49.0	38.0	36.0	39.0	35.0	30.0
AT3G46845	AT3G46845	18.0	19.0	19.0	16.0	22.0	14.0	17.0	14.0	11.0	12.0
AT3G46870	AT3G46870	30.0	16.0	18.0	19.0	25.0	18.0	17.0	17.0	16.0	13.0
AT3G46875	AT3G46875			0.1		2.0					
AT3G46880	AT3G46880	25.0	29.0	17.0	10.0	8.0	5.0	3.0	2.0		
AT3G46890	AT3G46890	7.0	3.0	4.0	1.0	2.0	0.8	0.7	0.2	0.2	0.3
AT3G46900	COPT2					0.1					0.1
AT3G46910	AT3G46910					0.1				0.1	
AT3G46920	AT3G46920	3.0	4.0	4.0	7.0	3.0	6.0	7.0	6.0	7.0	8.0
AT3G46930	AT3G46930	3.0	3.0	4.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0
AT3G46940	DUT1	118.0	118.0	135.0	126.0	187.0	139.0	122.0	121.0	115.0	72.0
AT3G46950	AT3G46950	9.0	10.0	10.0	12.0	14.0	12.0	12.0	10.0	9.0	8.0
AT3G46960	SKI2	7.0	9.0	8.0	13.0	6.0	11.0	14.0	13.0	12.0	13.0
AT3G46970	PHS2	33.0	39.0	38.0	43.0	30.0	48.0	50.0	49.0	62.0	84.0
AT3G46980	PHT4;3	5.0	7.0	5.0	7.0	5.0	7.0	7.0	7.0	7.0	9.0
AT3G46990	AT3G46990	4.0	3.0	4.0	5.0	4.0	5.0	5.0	6.0	6.0	4.0
AT3G47000	AT3G47000	12.0	12.0	11.0	15.0	9.0	14.0	17.0	16.0	14.0	18.0
AT3G47010	AT3G47010	5.0	6.0	6.0	8.0	4.0	7.0	9.0	8.0	5.0	6.0
AT3G47040	AT3G47040		0.1								
AT3G47050	AT3G47050								0.1		
AT3G47060	FTSH7	8.0	9.0	8.0	12.0	7.0	9.0	12.0	12.0	10.0	10.0
AT3G47070	AT3G47070	24.0	30.0	31.0	24.0	36.0	25.0	19.0	18.0	30.0	31.0
AT3G47080	AT3G47080	12.0	6.0	7.0	7.0	6.0	6.0	7.0	6.0	7.0	8.0
AT3G47090	AT3G47090		0.2	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.2
AT3G47100	AT3G47100		0.7	0.4	0.2	0.4	0.7	0.7	0.5	1.0	3.0
AT3G47110	AT3G47110	0.6	0.1	0.2	0.4	0.2	0.3	0.6	0.3	0.4	0.7
AT3G47120	AT3G47120	13.0	16.0	15.0	19.0	13.0	16.0	19.0	18.0	15.0	16.0
AT3G47130	AT3G47130	0.3	0.4	0.1	0.2		0.1				
AT3G47160	AT3G47160	10.0	12.0	11.0	9.0	10.0	10.0	9.0	8.0	14.0	18.0
AT3G47180	AT3G47180	9.0	6.0	5.0	2.0	2.0	3.0	2.0	2.0	0.9	1.0
AT3G47190	AT3G47190		0.2	0.1			0.1				
AT3G47200	AT3G47200							0.1	0.4	1.0	2.0
AT3G47210	AT3G47210					0.2			0.9	2.0	1.0
AT3G47220	PLC9							0.1	0.8	2.0	2.0
AT3G47250	AT3G47250	0.6	0.9	0.5	0.4	1.0	1.0	1.0	1.0	0.6	2.0
AT3G47290	ATPLC8	11.0	13.0	10.0	12.0	8.0	12.0	14.0	14.0	11.0	12.0
AT3G47295	PSY2		0.4	1.0		0.3	0.9	0.1	0.5	3.0	6.0
AT3G47300	SELT	13.0	13.0	14.0	12.0	17.0	14.0	14.0	13.0	13.0	14.0
AT3G47340	ASN1	0.3	0.3	0.3	0.3	0.4	0.3	0.2	0.2	2.0	3.0
AT3G47342	AT3G47342	3.0	3.0	3.0	6.0	2.0	6.0	6.0	4.0	10.0	6.0
AT3G47347	AT3G47347	12.0	30.0	27.0	47.0	34.0	27.0	24.0	23.0	37.0	38.0
AT3G47348	AT3G47348	77.0	115.0	109.0	96.0	113.0	93.0	76.0	72.0	115.0	98.0
AT3G47350	ATHSD2	185.0	184.0	189.0	174.0	237.0	175.0	167.0	156.0	130.0	116.0
AT3G47360	HSD3	3.0	5.0	5.0	8.0	6.0	6.0	7.0	5.0	8.0	9.0
AT3G47370	RPS20B	419.0	307.0	330.0	294.0	363.0	254.0	260.0	224.0	216.0	173.0
AT3G47380	PMEI11	0.9	0.7	0.1	0.5	0.4	0.2	0.2	0.3	0.2	0.3
AT3G47390	PYRR	8.0	7.0	6.0	11.0	6.0	7.0	11.0	7.0	9.0	11.0
AT3G47400	PME33	2.0	2.0	1.0	0.4	0.9	0.3	0.1	0.1	0.2	0.2
AT3G47410	AT3G47410									0.1	
AT3G47420	ATPS3	0.5	0.7	1.0	0.9	1.0	1.0	1.0	2.0	3.0	5.0
AT3G47430	PEX11B	0.9	0.9	0.4	0.7	3.0	1.0	0.4	0.8	2.0	3.0
AT3G47440	TIP5-1									0.1	0.1
AT3G47450	ATNOS1	9.0	11.0	8.0	13.0	7.0	11.0	12.0	11.0	13.0	17.0
AT3G47460	ATSMC2	10.0	11.0	11.0	21.0	10.0	19.0	22.0	19.0	18.0	19.0
AT3G47470	LHCA4	273.0	426.0	414.0	229.0	479.0	373.0	288.0	264.0	294.0	585.0
AT3G47480	CML47	0.3	0.2	0.5	0.1	0.1			0.2	0.1	0.1
AT3G47490	AT3G47490	6.0	9.0	7.0	9.0	9.0	9.0	9.0	8.0	9.0	13.0
AT3G47500	CDF3	9.0	10.0	9.0	6.0	5.0	6.0	5.0	4.0	3.0	6.0
